A sua empresa oferece beneficios referentes a saude mental como parte dos beneficios de saude?,"A sua empresa ja debateu saude mental formalmente (por exemplo, via um programa de concientizacao corporativo)?",A sua empresa oferece recursos para aprender mais sobre saude mental e alternativas para buscar ajuda?,A sua privacidade eh protegida se voce optar por um tratamento de saude mental oferecido pela sua empresa?,"Caso voce sinta a necessidade de solicitar uma licenca do trabalho devido a saude mental, quao facil ou dificil seria fazer essa solicitacao?",Voce se sentiria confortavel discutindo uma questao de saude mental com o seu chefe direto?,Voce se sentiria confortavel discutindo uma questao de saude mental com os seus pares?,O quao propenso voce estaria em dividir com amigos e familiares que voce possui uma doenca mental?,"Se voce revelou uma doenca mental para um cliente ou contato de negocio, como isso afetou voce e/ou o relacionamento?","Se voce revelou uma doenca mental para um para par ou funcionario, como isso afetou voce e/ou o relacionamento?",Idade,Genero,Qual pais voce reside?,Qual pais voce trabalha?,Voce ja foi diagnosticado com uma doenca mental?,Voce ja procurou tratamento profissional para uma doenca mental?
Eu nao sei,Nao,Nao,Eu nao sei,Eu nao sei,Talvez,Talvez,3,,,24.0,m,United States,United States,,Nao
Sim,Nao,Eu nao sei,Sim,Um pouco dificil,Talvez,Talvez,9,,,42.0,cisgênero masculino,United States,United States,,Sim
Sim,Nao,Nao,Eu nao sei,Dificil,Talvez,Talvez,9,,,35.0,Masculino,United States,United States,,Sim
Sim,Eu nao sei,Eu nao sei,Sim,Facil,Sim,Talvez,9,,,34.0,Masculino,United States,United States,Sim,Sim
Eu nao sei,Nao,Eu nao sei,Eu nao sei,Eu nao sei,Nao,Nao,10,,,33.0,Feminino,United States,United States,Sim,Sim
Sim,Nao,Eu nao sei,Sim,Facil,Sim,Talvez,7,,,37.0,Masculino,United States,United States,,Nao
Sim,Nao,Nao,Sim,Facil,Sim,Sim,8,,,36.0,Masculino,United States,United States,Sim,Sim
Sim,Nao,Nao,Sim,Nem facil nem dificil,Sim,Sim,9,,,47.0,cisgênero feminino,United States,United States,,Sim
Eu nao sei,Nao,Nao,Eu nao sei,Eu nao sei,Talvez,Talvez,6,,,42.0,Masculino,United States,United States,,Nao
Sim,Sim,Sim,Eu nao sei,Dificil,Talvez,Talvez,8,,,29.0,outros,United States,United States,Sim,Sim
,,,,,,,9,Nao tenho certeza,Negativamente,30.0,Gênero Fluido,United States,United States,Sim,Sim
Sim,Sim,Sim,Sim,Muito Facil,Sim,Sim,5,,,24.0,Feminino,United States,United States,Sim,Sim
Sim,Sim,Sim,Sim,Eu nao sei,Nao,Nao,3,,,41.0,Masculino,United States,United States,,Nao
Sim,Sim,Sim,Eu nao sei,Facil,Sim,Talvez,7,,,48.0,Feminino,United States,United States,Sim,Sim
Sim,Sim,Sim,Eu nao sei,Facil,Talvez,Talvez,9,,,31.0,Homem,United States,United States,Sim,Sim
Sim,Sim,Sim,Eu nao sei,Facil,Nao,Talvez,6,,,65.0,masculino,Canada,Canada,,Sim
Nao elegivel - NA,Nao,Eu nao sei,Eu nao sei,Dificil,Nao,Nao,7,,,34.0,não binário,United States,United States,,Sim
Eu nao sei,Eu nao sei,Eu nao sei,Eu nao sei,Dificil,Sim,Talvez,5,,,55.0,Feminino,United States,United States,,Nao
,,,,,,,10,,Negativamente,33.0,Feminino,United States,United States,Sim,Sim
Sim,Nao,Nao,Eu nao sei,Um pouco dificil,Nao,Nao,3,,,41.0,F,United States,United States,Sim,Sim
Sim,Nao,Eu nao sei,Eu nao sei,Nem facil nem dificil,Nao,Nao,8,,,24.0,Feminino,United States,United States,Sim,Sim
Nao elegivel - NA,Nao,Eu nao sei,Eu nao sei,Dificil,Nao,Talvez,4,,,27.0,Feminino,United States,United States,,Nao
Sim,Sim,Eu nao sei,Eu nao sei,Nem facil nem dificil,Talvez,Talvez,6,,,30.0,Masculino,Canada,Canada,,Nao
Sim,Sim,Sim,Sim,Muito Facil,Sim,Sim,10,,,37.0,masculino,United States,United States,Sim,Sim
Nao,Nao,Nao,Eu nao sei,Dificil,Nao,Nao,4,,,61.0,masculino,United States,United States,Sim,Sim
,,,,,,,6,,Nao aplicavel,45.0,M,Netherlands,Netherlands,,Nao
Eu nao sei,Nao,Eu nao sei,Eu nao sei,Eu nao sei,Nao,Nao,7,,,29.0,Masculino,United States,United States,Sim,Sim
Sim,Eu nao sei,Nao,Eu nao sei,Eu nao sei,Talvez,Sim,10,,,41.0,Masculino,United States,United States,Sim,Sim
Eu nao sei,Nao,Nao,Sim,Um pouco dificil,Talvez,Nao,9,,,30.0,Masculino,United States,United States,Sim,Sim
Sim,Sim,Sim,Eu nao sei,Nem facil nem dificil,Sim,Talvez,6,,,29.0,Mulher,United States,United States,Sim,Sim
Sim,Sim,Sim,Nao,Muito Facil,Talvez,Sim,10,,,34.0,Feminino,Australia,Australia,Sim,Sim
,,,,,,,8,Sem mudanca,Sem mudanca,52.0,Masculino,United States,United States,Sim,Sim
Sim,Sim,Sim,Sim,Eu nao sei,Talvez,Talvez,7,,,36.0,masculino,United States,United States,,Sim
Eu nao sei,Nao,Nao,Eu nao sei,Muito Facil,Talvez,Talvez,3,,,34.0,Masculino,United Kingdom,United Kingdom,,Nao
,,,,,,,1,Negativamente,Negativamente,51.0,Masculino,United States,United States,Sim,Sim
Sim,Nao,Eu nao sei,Sim,Nem facil nem dificil,Sim,Nao,2,,,35.0,Masculino,United States,United States,,Sim
Eu nao sei,Nao,Nao,Nao,Dificil,Nao,Talvez,4,,,34.0,Masculino,United States,United States,Sim,Sim
Sim,Sim,Nao,Eu nao sei,Facil,Talvez,Sim,7,,,24.0,feminino,United States,United States,Sim,Sim
Sim,Sim,Sim,Sim,Um pouco dificil,Talvez,Talvez,5,,,37.0,Masculino,United States,United States,,Nao
Nao,Nao,Nao,Eu nao sei,Dificil,Sim,Sim,0,,,24.0,Feminino ,United States,United States,Sim,Sim
Nao elegivel - NA,Nao,Nao,Eu nao sei,Facil,Nao,Nao,0,,,46.0,Masculino,United States,United States,,Sim
Eu nao sei,Nao,Eu nao sei,Eu nao sei,Facil,Sim,Talvez,8,,,31.0,m,United States,United States,,Sim
,,,,,,,5,,Nao tenho certeza,35.0,M,United States,United States,Sim,Sim
Sim,Sim,Sim,Sim,Muito Facil,Sim,Sim,10,,,40.0,Masculino ,United States,United States,,Nao
Sim,Nao,Nao,Sim,Facil,Sim,Sim,10,,,28.0,masculino,United States,United States,Sim,Sim
Eu nao sei,Nao,Nao,Eu nao sei,Muito Facil,Talvez,Talvez,5,,,28.0,Masculino,United States,United States,,Sim
Sim,Eu nao sei,Eu nao sei,Eu nao sei,Eu nao sei,Talvez,Talvez,8,,,31.0,Masculino,United States,United States,Sim,Sim
Sim,Eu nao sei,Sim,Eu nao sei,Facil,Sim,Sim,7,,,27.0,Masculino,United States,United States,,Nao
Sim,Nao,Nao,Sim,Eu nao sei,Nao,Sim,10,,,35.0,Masculino,United States,United States,Sim,Sim
